lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,D,7,0.63091433,0.3636666,0.2654384,0.47616592,0.19353853,False
yor,sentiment,D,8,0.65559316,0.3896385,0.32412544,0.47557977,0.20904568,False
yor,sentiment,D,9,0.70124656,0.40501633,0.27575627,0.5111127,0.3433257,False
yor,sentiment,D,10,0.6106321,0.33148697,0.2274301,0.43878052,0.26605636,False
yor,sentiment,D,11,0.64107925,0.3670774,0.24726558,0.49105814,0.24726932,False
yor,sentiment,D,12,0.6968826,0.38962206,0.26176584,0.50192326,0.38514233,False
yor,sentiment,D,13,0.7270462,0.37879872,0.2674748,0.49700207,0.40114573,False
yor,sentiment,D,14,0.7560087,0.43687677,0.36743098,0.52553886,0.45468104,False
yor,sentiment,D,15,0.7266534,0.48452806,0.3247405,0.58699584,0.23087734,False
yor,sentiment,D,16,0.63950926,0.5489265,0.38952163,0.6361067,0.1830214,False
yor,sentiment,D,17,0.6980105,0.51615274,0.37673277,0.59327775,0.12476747,False
yor,sentiment,D,18,0.6854745,0.47566032,0.354329,0.5364184,0.15090811,False
yor,sentiment,D,19,0.71231306,0.441158,0.3230766,0.5019073,0.15578929,False
yor,sentiment,D,20,0.72480553,0.4676222,0.32328236,0.5506833,0.14736812,False
yor,sentiment,D,21,0.6005733,0.47103992,0.33144832,0.55709535,0.14211804,False
yor,sentiment,D,22,0.62055993,0.5245738,0.40097126,0.59861153,0.1181487,False
yor,sentiment,D,23,0.6886273,0.5365423,0.40234646,0.61282027,0.10602579,False
yor,sentiment,D,24,0.7581804,0.55800384,0.4191544,0.6584689,0.16054316,False
yor,sentiment,D,25,0.7669168,0.46011472,0.33173177,0.59161544,0.20992456,False
yor,sentiment,D,26,0.6955088,0.40364155,0.27186936,0.49075562,0.13952084,False
yor,sentiment,D,27,0.71079457,0.3933272,0.30252835,0.47602826,0.10788314,False
yor,sentiment,D,28,0.7033367,0.37731797,0.24966437,0.48978326,0.12268598,False
yor,sentiment,D,29,0.7207876,0.39052713,0.2656119,0.49195626,0.105891705,False
yor,sentiment,D,30,0.74720263,0.40686017,0.28865364,0.51211256,0.11587005,False
yor,sentiment,D,31,0.72265875,0.3997687,0.2564382,0.51008284,0.11308914,False
yor,sentiment,D,32,0.69699043,0.3825528,0.23181109,0.50257343,0.09435753,False
yor,sentiment,D,33,0.655897,0.37381533,0.23680106,0.4898429,0.106339835,False
yor,sentiment,D,34,0.6641452,0.3651509,0.21119297,0.485939,0.13183238,False
yor,sentiment,D,35,0.6824743,0.3084647,-0.0592615,0.4984171,0.0771045,False
